max,min,mean,std,amplitude,skew,kurt,rise_time,fwhm,energy,area,n_peaks,dom_freq
543,4,22.098,46.16223993698746,539,8.208984971819959,73.2332727772064,149,5,1309637,11034.5,1,0
1913,6,36.226,163.10875796228723,1907,8.936672183479125,84.93402496112334,150,5,13958395,18099.0,1,0
2570,4,45.99,225.1443490296836,2566,8.869747334007702,83.45482398528175,151,5,26402529,22981.5,1,0
576,3,20.556,50.070419051571754,573,8.412439325031388,76.38693536656677,149,5,1464798,10269.0,1,0
1806,6,35.782,156.38879268029407,1800,8.862718575479954,83.04862536092726,150,5,12868903,17881.0,1,0
248,5,17.438,24.08414740031293,243,7.451078229638169,60.36765849725037,150,7,442065,8708.5,2,0
857,5,27.472,77.24856772782263,852,8.312366714122533,74.43968381350146,150,5,3361026,13723.0,1,0
179,5,13.65,14.33888070945567,174,8.227435500268465,77.47437890522846,148,4,195963,6813.0,3,0
2073,3,37.052,181.1340313027897,2070,9.017062631084945,86.31813943487698,151,5,17091194,18516.0,1,0
1651,4,39.948,152.32783493505053,1647,8.052360801509113,69.84694723529954,151,6,12399806,19960.5,1,0
416,4,15.864,35.07747858669434,412,9.077679059823026,87.69316317490406,148,5,741048,7919.5,1,0
490,4,17.456,39.13775752390522,486,9.154974455715033,89.69749697739122,149,4,918238,8716.0,1,0
246,6,16.544,21.40252471088399,240,7.823755866065257,68.49699214183073,149,6,365886,8257.5,2,0
1671,6,33.81,142.4105680769514,1665,8.868993206941777,83.36959137804952,150,5,10711943,16891.5,1,0
4693,5,84.36,414.53907222359635,4688,8.545810068579062,78.3927490124455,151,5,89479626,42168.5,1,0
1075,3,29.924,95.25581464666605,1072,8.353213030357736,75.1770499135754,150,5,4984558,14952.5,1,0
382,5,16.684,32.28913352817012,377,8.987842864844305,85.461880190287,149,5,660472,8330.0,1,0
204,4,15.824,18.109252441776828,200,7.561371290034059,62.549197114561096,149,7,289172,7900.0,4,0
7794,6,110.936,674.6407043041504,7788,8.962519981104968,85.16594976148323,151,5,233723438,55454.5,1,0
865,3,20.8,73.50088434842128,862,8.829522005323533,82.91695260666023,150,5,2917510,10390.5,1,0
413,3,17.188,31.302726015476676,410,9.136988611569501,91.64152050171509,149,4,637644,8582.0,1,0
374,6,18.928,34.92939758999574,368,7.375157814999401,59.24404148830967,150,6,789166,9450.5,1,0
159,5,13.944,12.35964659688941,154,8.52776724549091,81.71327766580177,147,4,173598,6959.0,8,0
774,5,21.906,65.73301426224116,769,8.929964797871618,84.4426894533497,150,5,2400351,10942.0,1,0
593,2,19.078,52.063268395289974,591,8.665952750739924,79.30244375519473,150,5,1537277,9529.0,1,0
4635,2,87.244,412.1953231952056,4633,8.477376171640941,77.22067022663396,151,5,88758250,43604.5,1,0
230,3,14.25,19.213315695111035,227,8.371230191360072,78.46299390290132,148,5,286107,7117.0,2,0
1310,6,35.168,121.00168501306088,1304,8.154880738429657,70.97166648989034,151,6,7939098,17571.0,1,0
475,4,21.216,41.8988465712363,471,7.787640371692477,66.58867564735387,150,6,1102816,10596.0,1,0
1552,2,37.708,137.93527009434533,1550,8.280392833747445,74.01745546416998,150,5,10224016,18840.0,1,0
714,5,23.276,63.462302384959216,709,8.27137703882428,73.29940986440954,149,6,2284618,11627.0,1,0
5864,4,87.424,511.57507388847637,5860,8.92557738047853,84.21685051980648,151,5,134676006,43700.0,1,0
211,3,13.454,18.401627210657214,208,8.142995143250802,70.77805422206005,149,6,259815,6717.0,1,0
7118,5,99.504,598.3577575196966,7113,9.097151598504059,87.81853136646431,151,4,183966526,49741.0,1,0
1191,2,27.708,104.44569275944318,1189,8.866725062289202,83.20155355394807,150,5,5838318,13842.0,1,0
678,5,19.938,56.7175647925755,673,9.129829323446645,88.83100719115626,149,4,1807203,9957.0,1,0
1235,1,27.514,106.9817451904763,1234,8.986919046956212,85.232196352974,150,5,6101057,13747.0,1,0
353,4,16.672,27.981501317834965,349,8.715636550701134,82.59057531072428,149,5,530460,8326.0,1,0
6218,5,88.076,520.8672558569986,6213,9.114019107565213,88.3638034117603,151,5,139530040,44026.0,1,0
762,6,25.4,67.02978442453774,756,8.11072761874987,72.0335487313707,149,5,2569076,12683.5,1,0
1952,1,37.062,167.62778455852717,1951,8.994419541650155,85.40231176040712,151,5,14736333,18516.5,1,0
343,2,17.244,30.727519652585038,341,7.957887525949958,68.8906628925978,150,6,620768,8613.5,1,0
10487,5,166.228,911.8407141688728,10482,8.670555942852403,80.23230445689805,151,6,429542618,83096.5,1,0
254,1,14.198,19.507198568733546,253,9.12759360032098,91.41979825015027,148,5,291057,7085.5,1,0
11562,6,161.174,1002.7071495327039,11556,8.852790884874388,82.98715488254506,152,5,515699343,80575.5,1,0
2795,6,59.954,256.87189002302296,2789,8.324503701285657,74.00936470807692,151,6,34788825,29964.0,1,0
235,4,15.296,20.397460234058556,231,8.551147725290333,78.32822174820211,147,6,325012,7635.5,1,0
1443,1,29.64,124.11363502854954,1442,9.026759804036868,86.57782005862772,150,5,8141362,14807.5,1,0
587,1,17.814,47.32351850824281,586,9.270796626344262,91.7705158056974,149,4,1278427,8897.5,1,0
369,3,15.276,26.64041711385165,366,9.899384634216535,107.90957477778824,149,4,471534,7630.5,1,0
10074,6,139.864,869.8617393034367,10068,8.949544517800216,84.77348046673619,152,5,388110692,69920.5,1,0
1996,5,45.06,179.49607349465893,1991,8.188715453194481,72.07358602356204,151,6,17124622,22514.5,1,0
944,6,23.714,77.12968432451932,938,9.10459800051402,88.67020000950296,149,5,3255671,11843.5,1,0
508,5,21.642,46.87423424441192,503,7.82038738829089,66.82185838309582,149,6,1332785,10810.0,1,0
1861,6,36.354,158.66998671456426,1855,9.163520326119107,89.24892340824374,150,4,13248889,18164.0,1,0
450,3,17.032,39.47326913241416,447,8.568035197688316,78.15821227424946,149,6,924114,8505.5,1,0
1567,6,40.502,144.9199986061275,1561,8.152806803574343,71.23553249946536,151,6,11321109,20241.5,1,0
1621,6,32.15,140.72334383463178,1615,9.124130733435468,87.8197376619361,150,5,10418341,16064.5,1,0
3067,3,50.534,264.15379770883476,3064,9.095402291847062,87.56499590898848,151,5,36165457,25249.0,1,0
1263,3,28.15,109.82190810580556,1260,8.710000004329949,79.97700885075288,150,5,6426637,14064.0,1,0
2874,3,47.578,248.97391814404978,2871,8.996868030144695,85.47145980796294,151,5,32125839,23780.0,1,0
709,2,19.61,61.775382637422815,707,9.28717546724645,91.02604331838553,150,5,2100375,9794.5,1,0
666,3,23.754,60.22243339487371,663,8.09032082899853,70.2898991758209,149,5,2095497,11862.5,1,0
3974,1,63.088,347.7863370749345,3973,8.985936010872656,85.7241612813591,151,5,62467716,31534.5,1,0
312,3,15.168,25.74349968438635,309,8.712173866749021,82.70137598878506,149,5,446398,7571.5,1,0
211,4,14.308,14.948750315661844,207,9.437762478789978,102.20771085047792,147,4,214092,7147.5,2,0
1227,4,26.304,102.78513308839949,1223,9.148914839854983,88.82620885230001,150,5,5628342,13138.0,1,0
153,4,14.466,13.56070956845548,149,7.5255112063328164,63.745042501414176,148,6,196579,7220.0,8,0
439,5,20.248,41.87274168238808,434,7.903391017924653,67.78988067782096,149,6,1081654,10111.0,2,0
295,3,15.52,25.690418447351142,292,8.363966459804727,74.53088803172966,149,6,450434,7747.5,1,0
10478,4,144.014,895.5425918425099,10474,8.939190136002162,84.82352316264739,152,5,411368283,71993.0,1,0
9851,4,135.412,851.5132096779239,9847,8.962006250653932,84.87043223081157,151,6,371705578,67696.0,1,0
2367,6,41.884,201.50200630266684,2361,9.13458682944973,88.2960146699997,150,4,21178664,20925.5,1,0
154,3,13.094,13.512703800498256,151,8.178798800139722,72.274120961934,148,6,177023,6539.0,7,0
1274,5,26.378,102.16997169423118,1269,9.159169454901306,89.88770423441986,150,4,5567251,13175.0,1,0
436,6,19.442,37.43007662295123,430,8.679448202904831,79.72871999610969,149,5,889501,9706.0,1,0
431,3,16.74,35.11342193520876,428,8.938762449215211,85.88767739559883,149,5,756590,8360.0,1,0
2214,4,38.856,190.05004410417803,2210,8.994607258981215,85.56850555777993,151,5,18814404,19416.5,1,0
1050,6,32.48,101.8351687777852,1044,7.732885645754158,63.97892203038123,150,6,5712676,16226.0,1,0
708,4,18.794,56.632742861351865,704,9.419323604916649,94.65376909814812,149,4,1780241,9387.5,1,0
507,6,21.254,45.11950225789287,501,8.02064181432148,70.23581786579757,150,5,1243751,10616.0,1,0
156,6,14.266,12.351811365139932,150,8.306333531828827,78.64977487138596,147,6,178043,7123.5,7,0
847,3,26.164,75.74365388598572,844,8.180242005260846,72.55321334320375,150,6,3210828,13071.5,1,0
474,3,17.03,42.19048589433405,471,8.722755125324431,80.45144790326539,150,5,1035029,8503.0,1,0
366,3,16.352,30.652440294371345,363,9.013356656476843,86.56022463280713,149,4,603480,8162.0,1,0
539,4,18.14,46.015697321674914,535,8.689793691007921,81.16496124016803,149,5,1223252,9059.0,1,0
4753,4,71.588,408.31908877249424,4749,9.025706780992149,86.31991674793912,151,5,85924660,35783.0,1,0
6584,2,92.374,551.7147651857798,6582,9.147361455582734,88.89089637648945,151,4,156461069,46175.5,1,0
2414,1,42.65,209.96210967696052,2413,8.888794691850226,83.35735527507359,150,5,22951555,21314.0,1,0
1907,5,35.526,162.24004845906575,1902,8.990140132233305,85.38122098785053,150,4,13791965,17750.0,1,0
1177,2,26.674,100.70908461504352,1175,9.010103736074806,86.87095877533888,150,5,5426911,13321.0,1,0
350,5,17.976,32.2669401090342,345,7.743453602982129,65.3984509776807,149,6,682146,8976.0,1,0
